Tahun,Kecamatan,Bulan,Jenis_Kejahatan,Lokasi_Kejadian,Waktu_Kejadian,Jumlah_kasus
2025,Teluk Betung Selatan,Maret,Pencurian motor,Perkantoran,22.00-23.59,1
2025,Tanjung Karang Barat,April,Pencurian motor,Rumah,08.00-11.59,1
2025,Tanjung Karang Timur,April,Pencurian motor,Rumah,04.00-04.59,1
2025,Teluk Betung Timur,April,Pencurian motor,Rumah,04.00-04.59,1
2025,Tanjung karang barat,April,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,22.00-23.59,1
2025,Tanjung Karang Timur,April,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,15.00-17.59,1
2025,Kedaton,April,Pencurian motor,Rumah,05.00-07.59,1
2025,Teluk Betung Timur,April,Pencurian motor,Rumah,05.00-07.59,1
2025,Teluk Betung Selatan,April,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,15.00-17.59,1
2025,Teluk Betung Timur,April,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,15.00-17.59,1
2025,Tanjung Karang Timur,April,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,12.00-14.59,1
2025,Teluk Betung Selatan,April,Pencurian motor,Pasar,05.00-07.59,1
